"","CHROM","POS","Bulk","Parent","Interaction"
"result.1","I",100007,-0.0875761878016371,3.55378953674943,-0.0171461484511477
"result.2","I",1035,0.182698359076959,0.536967935657171,0.138479667096581
"result.3","I",1074,-0.00987318356690463,-0.345074368221632,0.319044448891517
"result.4","I",1101,0.0189539080321861,-0.12033162867949,-0.00761667442765511
"result.5","I",1173,0.873966107178352,-0.392783102956485,-0.182581043057779
"result.6","I",1176,0.771790307688269,-0.453573686283778,0.147406783913846
"result.7","I",1178,1.01966908624744,-0.692047675226509,0.00755855748342417
"result.8","I",1184,0.828948720642571,-0.506052345007955,0.0172393843400974
"result.9","I",128103,-8.61110277837539e-17,-2.69849832797291e-16,1.92088982431171e-16
"result.10","I",143575,-0.0207315949399062,3.89418098469785,-0.130204785673054
"result.11","I",152105,-0.046198588495637,-0.632186480520877,-0.173784319966075
"result.12","I",1658,0.927986771616073,-0.771965142463249,-0.697020934257957
"result.13","I",179225,-0.028004777805113,4.39011731427491,-0.257043034909215
"result.14","I",186754,-0.073025712943396,-1.02025553705882,1.63467296146071
"result.15","I",186987,-0.00454587563451388,0.637119349090218,-0.911744856239633
"result.16","I",2287,-0.0465107602747649,-0.170056293501883,0.243304232257275
"result.17","I",2512,-0.116202007550836,-0.0781300596014754,0.233653422410433
"result.18","I",2573,-0.093828158252553,-0.205580504901156,0.352295769225806
"result.19","I",929,0.128697195837061,0.070342722555167,0.198990211228419
"result.20","I",970,0.255648583823302,-0.281873207755494,0.28266654372922
"result.21","I",980,0.181802196280814,-0.321114403847398,0.266010650557022
"result.22","I",981,0.188052216488668,-0.319195569703675,0.287601206315499
"result.11000","II",100153,-0.183307261565499,-0.0646732103405191,0.199439653206278
"result.21000","II",100367,-0.188001547596574,-0.291284466480548,0.285903900917688
"result.31000","II",100413,-0.327642157172941,-0.3031255854245,0.523623105146113
"result.41000","II",100878,0.0204088716312068,0.118526727554231,-0.163989101630833
"result.51000","II",101103,-0.133859762240254,-0.0100344121433299,-0.0160294656848789
"result.6432","II",101289,-0.252820810468955,0.0817157784962027,0.213424013239706
"result.7100","II",101340,-0.195226502291523,0.158476072553041,-0.152934623848368
"result.8100","II",10136,-0.309265320334091,-0.00780194969824374,-0.0230325701396336
"result.9100","II",101507,-0.198500309564951,-0.000704473435262658,0.0803945305885213
"result.10100","II",101581,0.0733329083456815,0.0641751118256666,-0.284216602954069
"result.11100","II",10210,-0.431162893870927,-0.00317892222741482,0.250132244599307
"result.12100","II",102140,-0.169152328013789,0.0171915760724643,0.0318073999951554
"result.13100","II",102209,-0.0850632340633711,-0.0358097444311005,-0.0231065995921888
"result.14100","II",102386,-0.0594927309357906,-0.0519969213977544,-0.011224696153769
"result.15100","II",102419,-0.165717344734839,-0.00162540842340293,-0.164917175627324
"result.16100","II",102432,-0.0938428990181318,0.0378327878784322,-0.262416967881979
"result.17100","II",102815,-0.036519537283228,0.233207758354542,-0.190788499122424
"result.18100","II",102947,-0.0196849607406069,-0.056165238501537,-0.200203146668379
"result.19100","II",103296,-0.188272869075082,-0.0411179643883505,-0.0348356202751521
"result.20100","II",103586,0.0168859325619893,-0.0448258782354116,-0.26823835334673
"result.21100","II",103652,-0.338607885335577,-0.096899266260704,0.151047647188365
"result.22100","II",10401,-0.388506214322951,-0.123679751917694,0.0931531612585454
"result.23","II",104383,-0.165930660438132,0.0100914534291849,0.0699634724120399
"result.24","II",104641,-0.0214215841587336,0.150447329658383,0.0919914588991225
"result.25","II",104669,-0.102476379340327,0.207893440981101,0.113758903639526
"result.26","II",104735,-0.232888096308019,0.130202394144434,0.00719020058956498
"result.27","II",104953,-0.232073877741016,0.111632452161046,0.00905899664502761
"result.28","II",105289,-0.0542650647767086,-0.109330934301358,-0.127880973760987
"result.29","II",105316,-0.0147484238094754,-0.13101039289774,-0.183485142681891
"result.30","II",105376,0.0147164623378859,-0.032350798209685,-0.186863474964635
"result.31","II",105422,-0.206497160199465,-0.17581740907379,0.134690117649926
"result.32","II",105449,-0.18198178278051,-0.11095807225149,0.206268238903012
"result.33","II",105583,-0.222367074502166,-0.059650221529656,0.042596145657741
"result.34","II",105610,-0.112879347986727,-0.0987057687680743,0.116549624522795
"result.35","II",105621,-0.146900516883669,-0.0779802713374217,0.169631912845139
"result.36","II",105670,-0.0941248513944608,-0.117383414644558,0.0616455181065382
"result.37","II",10572,-0.279414234532757,-0.0191143710606955,-0.0397815914482978
"result.38","II",105799,-0.216332543830144,0.285329333484104,0.091740079428405
"result.39","II",105811,-0.16783166838841,0.318665617971748,-0.003429294961844
"result.40","II",10584,-0.312861856214619,-0.201594905318713,0.129251905278124
"result.41","II",105868,-0.0853477596884046,0.189716700089241,-0.192846593038827
"result.42","II",105898,0.0118046441077462,0.0409828987177427,-0.271491469216785
"result.43","II",105973,0.0714354173260061,-0.0114658960367319,-0.0981924530909393
"result.44","II",105979,0.10100640559795,-0.0173962261695476,-0.100539241498233
"result.45","II",10627,-0.29462512668571,-0.196797242955064,0.0910958375717595
"result.46","II",106303,-0.0776367475525191,0.108982215350214,-0.000652932500564534
"result.47","II",106348,-0.114400761276241,0.0303883297681833,0.101613610476917
"result.48","II",106546,-0.0332256476283033,-0.011952333523841,-0.0433248204073292
"result.49","II",106651,-0.156842471492969,-0.022388994893479,-0.0970219102417107
"result.50","II",10674,-0.336760022143175,-0.210600624189465,0.177897337430361
"result.51","II",10708,-0.155411528838151,-0.0306029806429381,-0.0786490452821801
"result.52","II",10711,-0.193632221672091,-0.0325001821030172,-0.057394821994506
"result.53","II",107326,-0.216111855023495,0.0398214941866078,0.137758540784126
"result.54","II",107418,-0.211531198668258,0.0123870460352448,0.223250493527782
"result.55","II",107671,-0.0422207302823833,0.21161858328612,-0.0823581488995263
"result.56","II",107779,0.0317038066271794,0.195437333644317,-0.301026264093036
"result.57","II",10783,-0.244889255714749,0.0537226940818341,-0.0930432141422805
"result.58","II",107917,0.0547480004334789,0.0002920987314488,-0.231633964105087
"result.59","II",10795,-0.288190073478706,0.06555209469287,-0.0620498435366501
"result.60","II",10801,-0.382155278439438,-0.0453282973315792,0.0909530963354962
"result.61","II",108114,-0.229637392892983,-0.0535114367853434,0.250706306167087
"result.62","II",108303,0.03138631382066,0.122358092005592,-0.194485473291943
"result.63","II",108375,0.108698276461435,0.108352967170293,-0.228583756913537
"result.64","II",108472,-0.278511456015213,0.0483215239983934,0.255710117421969
"result.65","II",108510,-0.0813244996568739,-0.00230890429668249,0.132848404283204
"result.66","II",108534,-0.246742244633349,0.00788109643088897,0.149018218589971
"result.67","II",108543,-0.163248554277392,0.0360920861610456,0.0657927355941245
"result.68","II",108557,-0.172265808172935,0.0178025459866623,0.0714255519167395
"result.69","II",109050,-0.125401266353667,-0.190228429430977,0.0566970370996985
"result.70","II",109165,0.0551794540555873,0.0447233435618072,-0.198334584735804
"result.71","II",10943,-0.108685105550809,-0.0632918972487203,-0.100055962899003
"result.72","II",109482,-0.130205775802902,0.299253472849398,-0.221859905754971
"result.73","II",109500,-0.150337370429301,0.263765422309277,-0.192165676202514
"result.74","II",109506,-0.17568191602405,0.242582608346432,-0.143070594176738
"result.75","II",109544,-0.075107472486805,0.113901536579637,-0.124736493893556
"result.76","II",110028,-0.00259027239062764,0.0230052747983359,-0.0748883187188286
"result.77","II",110153,0.125564220967778,-0.0410358752149288,-0.141413135799134
"result.78","II",110335,0.0129592138400855,0.141647773525049,-0.326070273833143
"result.79","II",11039,-0.126194602560668,0.126232090142911,-0.228798580352281
"result.80","II",110550,0.0561808283979425,0.182660942509073,-0.232455108835662
"result.81","II",11072,-0.133912417586267,0.117286010589054,-0.0968231745063291
"result.82","II",110721,0.0109110931523281,0.227330935969611,-0.321403229792486
"result.83","II",110746,-0.0735269655269942,0.261697585493785,-0.207070570475996
"result.84","II",111115,-0.112051067435355,0.0639476020273139,-0.0699213258242539
"result.85","II",111288,-0.0787239093827743,0.0572964541097118,-0.074195498400461
"result.86","II",111306,0.0242527510492814,0.174639673929787,-0.215046515171948
"result.87","II",111645,-0.00821859387855733,0.043596674142671,-0.194669102447315
"result.88","II",111699,-0.0815416818588381,-0.0253047591990217,0.0930581239185645
"result.89","II",111739,0.0231151702031114,-0.113198607531872,0.0797264055991321
"result.90","II",111751,-0.0424222758858279,-0.100208346049266,0.0669156794302169
"result.91","II",111931,0.0352280066177237,0.0219860369806048,0.194960746412347
"result.92","II",111970,0.141574753060608,0.0500633684783463,-0.0271338789576929
"result.93","II",111999,-0.124112166999091,0.0497385775689234,0.0712528573069002
